Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Unnamed: 15,Unnamed: 16
2023-01-01,S001,P0001,Clothing,South,425,182,72,194.79,48.37,10,Rainy,1,49.99,Autumn,,
2023-01-01,S001,P0002,Toys,North,240,91,135,99.06,69.97,20,Cloudy,0,66.91,Winter,,
2023-01-01,S001,P0003,Clothing,North,330,297,58,288.23,38.5,10,Snowy,1,39.1,Summer,,
2023-01-01,S001,P0004,Clothing,North,383,10,166,26.69,31.03,10,Sunny,1,32.01,Winter,,
2023-01-01,S001,P0005,Toys,North,310,70,177,78.32,15.11,0,Rainy,0,14.21,Winter,,
2023-01-01,S001,P0006,Toys,South,329,16,108,35.14,32.48,10,Sunny,1,35.27,Summer,,
2023-01-01,S001,P0007,Groceries,West,132,13,131,9.3,57.13,0,Snowy,1,59.86,Spring,,
2023-01-01,S001,P0008,Clothing,West,177,155,52,145.04,83.63,20,Sunny,1,87.76,Spring,,
2023-01-01,S001,P0009,Furniture,North,254,17,141,21.69,72.89,0,Snowy,0,74.88,Summer,,
2023-01-01,S001,P0010,Electronics,West,233,150,190,165.54,12.98,0,Cloudy,0,15.96,Summer,,
2023-01-01,S001,P0011,Toys,South,275,10,23,17.52,21.8,0,Sunny,1,22.43,Autumn,,
2023-01-01,S001,P0012,Electronics,West,373,3,198,18.64,20.77,20,Rainy,1,21.75,Summer,,
2023-01-01,S001,P0013,Electronics,East,477,345,22,354.23,15.56,10,Snowy,0,14.51,Winter,,
2023-01-01,S001,P0014,Furniture,West,342,307,85,317.29,85.36,5,Sunny,0,88.27,Summer,,
2023-01-01,S001,P0015,Electronics,West,365,312,200,308.79,41.06,20,Cloudy,1,41.8,Spring,,
2023-01-01,S001,P0016,Groceries,West,452,262,79,253.67,14.73,10,Snowy,0,19.03,Autumn,,
2023-01-01,S001,P0017,Groceries,South,454,25,186,22.18,10.04,0,Cloudy,0,9.43,Spring,,
2023-01-01,S001,P0018,Toys,East,93,20,111,35.76,80.01,10,Cloudy,1,81.62,Winter,,
2023-01-01,S001,P0019,Toys,North,183,85,185,103.72,81.13,5,Cloudy,1,79.8,Winter,,
2023-01-01,S001,P0020,Electronics,North,358,5,86,12.76,93.94,10,Sunny,0,91.6,Autumn,,
2023-01-01,S002,P0001,Toys,West,104,11,110,25.4,55.88,15,Snowy,1,58.93,Winter,,
2023-01-01,S002,P0002,Furniture,South,367,298,105,311.03,20.23,0,Rainy,1,15.32,Autumn,,
2023-01-01,S002,P0003,Clothing,South,405,159,76,154.31,50.07,10,Rainy,0,52.54,Summer,,
2023-01-01,S002,P0004,Groceries,North,402,228,123,241.92,28.8,5,Rainy,1,30.54,Autumn,,
2023-01-01,S002,P0005,Clothing,West,393,290,113,296.65,93.72,0,Rainy,0,89.73,Spring,,
2023-01-01,S002,P0006,Groceries,West,141,126,113,119.71,10.28,20,Rainy,1,8.19,Winter,,
